,Hostname, Req_cnt, Dist_Req_Cnt, high_req_cnt_single_domain, avg_req_per_min, high_req_per_min, cnt_query_mx, cnt_query_ptr, dist_dns_server, dist_tld, dist_sld, uniqueness_ratio, res_failed, dist_city_cnt, dist_country_cnt, flux_ratio,RESULT
49,172.31.158.99_trafic,190,39,21,4,49,0,14,1,7,25,4,0,0,0,0,Bot
50,172.31.228.95_trafic,24,4,11,0,5,0,0,1,2,4,6,0,0,0,0,Bot
51,172.31.250.136_trafic,18,14,3,18,11,0,0,1,3,8,1,0,1,1,0,clean
52,172.31.250.135_trafic,109,62,5,4,24,0,0,1,9,25,1,0,1,1,0,clean
53,172.31.237.99_trafic,166,40,28,5,23,0,0,1,7,24,4,0,1,1,0,Bot
54,172.31.237.96_trafic,105,39,9,3,11,0,0,1,3,14,2,0,1,1,0,clean
55,172.31.107.175_trafic,122,40,32,2,12,0,0,1,5,16,3,0,0,0,0,Bot
56,172.31.234.244_trafic,15,8,3,5,5,0,0,1,3,4,1,0,1,1,0,clean
57,172.31.107.170_trafic,42,27,5,2,8,0,19,1,3,8,1,0,0,0,0,clean
58,172.31.107.171_trafic,505,195,30,8,37,0,1,1,7,69,2,0,0,0,0,Bot
59,172.31.237.90_trafic,99,15,32,2,8,0,0,1,2,9,6,0,1,1,0,Bot
60,172.31.237.91_trafic,51,16,6,0,11,0,0,1,3,12,3,0,1,1,0,clean
61,172.31.151.179_trafic,151,27,25,2,11,0,0,1,3,12,5,0,0,0,0,Bot
62,172.31.159.177_trafic,67,43,4,6,22,0,0,1,4,21,1,0,0,0,0,clean
63,172.31.151.171_trafic,516,180,47,16,117,0,0,1,8,79,2,0,0,0,0,Bot
64,172.31.232.253_trafic,76,38,19,1,20,0,0,1,6,19,2,0,1,1,0,Bot
65,172.31.151.174_trafic,66,29,8,2,11,0,0,1,3,16,2,0,0,0,0,clean
66,172.31.232.254_trafic,168,98,9,3,26,0,0,1,3,26,1,0,1,1,0,clean
67,172.31.232.255_trafic,188,105,7,3,26,0,0,1,2,20,1,0,1,1,0,clean
68,172.31.242.34_trafic,212,9,102,4,14,0,0,1,2,6,23,0,1,1,0,Bot
69,172.31.224.54_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
70,172.31.242.35_trafic,157,19,41,3,8,0,0,1,3,13,8,0,1,1,0,Bot
71,172.31.247.62_trafic,21,8,6,10,8,0,0,1,1,5,2,0,1,1,0,clean
72,172.31.247.63_trafic,253,81,26,7,22,0,0,1,3,19,3,0,1,1,0,Bot
73,172.31.110.73_trafic,20,17,3,20,11,0,0,1,4,11,1,0,0,0,0,clean
74,172.31.247.66_trafic,1332,648,13,22,194,0,0,1,19,286,2,0,1,1,0,Bot
75,172.31.156.235_trafic,16,13,3,16,14,0,0,1,4,8,1,0,0,0,0,clean
76,172.31.242.140_trafic,207,61,22,3,28,0,0,1,3,17,3,0,1,1,0,Bot
77,172.31.235.90_trafic,247,71,19,4,46,0,0,1,5,22,3,0,1,1,0,Bot
78,172.31.242.144_trafic,503,141,48,16,62,0,0,1,27,53,3,0,1,1,0,Bot
79,172.31.156.70_trafic,65,3,58,13,46,0,2,1,2,3,21,0,0,0,0,Bot
80,172.31.242.149_trafic,55,39,4,2,24,0,0,1,8,23,1,0,1,1,0,clean
81,172.31.248.25_trafic,89,20,15,1,8,0,0,1,3,9,4,0,1,1,0,Bot
82,172.31.225.51_trafic,52,30,7,0,9,0,0,1,7,12,1,0,1,1,0,clean
83,172.31.125.117_trafic,60,28,9,1,7,0,0,1,2,20,2,0,0,0,0,clean
84,172.31.159.182_trafic,10,9,2,3,5,0,0,1,2,5,1,0,0,0,0,clean
85,172.31.245.19_trafic,62,48,3,62,37,0,0,1,4,21,1,0,1,1,0,clean
86,172.31.225.55_trafic,58,25,11,2,11,0,0,1,2,10,2,0,1,1,0,Bot
87,172.31.225.54_trafic,89,28,16,1,15,0,0,1,2,11,3,0,1,1,0,Bot
88,172.31.125.110_trafic,173,65,22,2,31,0,2,1,8,24,2,0,0,0,0,Bot
89,172.31.157.219_trafic,5,5,1,5,4,0,0,1,1,1,1,0,0,0,0,clean
90,172.31.159.188_trafic,7,6,2,7,5,0,0,1,1,4,1,0,0,0,0,clean
91,172.31.19.213_trafic,3,2,2,0,1,0,1,1,2,2,1,0,0,0,0,clean
92,172.31.157.212_trafic,185,124,5,8,83,0,0,1,9,62,1,0,0,0,0,clean
93,172.31.145.254_trafic,40,30,4,1,23,0,0,1,2,17,1,0,0,0,0,clean
94,172.31.236.70_trafic,62,21,7,4,15,0,0,1,3,13,2,0,1,1,0,clean
95,172.31.157.188_trafic,174,114,7,3,61,0,0,1,4,39,1,0,0,0,0,clean
96,172.31.153.110_trafic,34,16,8,0,10,0,0,1,3,8,2,0,0,0,0,clean
97,172.31.157.186_trafic,29,21,6,29,21,0,0,1,4,10,1,0,0,0,0,Bot
98,172.31.129.139_trafic,17,12,3,8,9,0,0,1,2,9,1,0,0,0,0,clean
99,172.31.157.182_trafic,9,8,2,9,7,0,0,1,2,4,1,0,0,0,0,clean
100,172.31.151.232_trafic,19,15,2,19,18,0,0,1,2,12,1,0,0,0,0,clean
101,172.31.157.33_trafic,81,3,74,1,58,0,2,1,2,3,27,0,0,0,0,Bot
102,172.31.238.112_trafic,100,54,6,2,21,0,0,1,4,14,1,0,1,1,0,clean
103,172.31.157.31_trafic,528,163,230,24,51,0,0,1,5,37,3,0,0,0,0,Bot
104,172.31.148.82_trafic,20,15,3,20,10,0,0,1,1,6,1,0,0,0,0,clean
105,172.31.158.154_trafic,17,9,6,17,17,0,0,1,3,6,1,0,0,0,0,clean
106,172.31.246.28_trafic,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,clean
107,172.31.229.119_trafic,74,26,7,2,18,0,0,1,5,11,2,0,1,1,0,clean
108,172.31.246.25_trafic,139,54,11,2,20,0,0,1,2,23,2,0,1,1,0,Bot
109,172.31.157.38_trafic,31,13,7,1,9,0,0,1,2,9,2,0,0,0,0,clean
110,172.31.246.22_trafic,168,31,20,3,30,0,0,1,2,12,5,0,1,1,0,Bot
111,172.31.232.121_trafic,175,87,10,7,36,0,0,1,12,34,2,0,1,1,0,clean
112,172.31.146.224_trafic,142,74,20,2,40,0,0,1,8,40,1,0,0,0,0,Bot
113,172.31.146.227_trafic,60,42,5,1,27,0,0,1,3,18,1,0,0,0,0,clean
114,172.31.146.221_trafic,541,90,78,9,28,0,0,1,5,41,6,0,0,0,0,Bot
115,172.31.169.67_trafic,75,16,32,1,10,0,0,1,2,9,4,0,1,1,0,Bot
116,172.31.231.161_trafic,69,22,14,1,10,0,0,1,3,12,3,0,1,1,0,Bot
117,172.31.231.160_trafic,170,78,12,9,42,0,0,1,12,36,2,0,1,1,0,Bot
118,172.31.12.25_trafic,87,34,11,7,16,0,0,1,3,10,2,0,1,1,0,Bot
119,172.31.12.24_trafic,208,27,41,3,25,0,0,1,4,9,7,0,1,1,0,Bot
120,172.31.105.36_trafic,49,29,11,0,8,0,0,1,3,17,1,0,0,0,0,Bot
121,172.31.232.105_trafic,128,34,53,2,15,0,0,1,3,20,3,0,1,1,0,Bot
122,172.31.151.233_trafic,119,19,45,2,7,0,0,1,3,14,6,0,0,0,0,Bot
123,172.31.232.103_trafic,131,43,19,2,17,0,0,1,3,23,3,0,1,1,0,Bot
124,172.31.12.23_trafic,74,18,22,1,15,0,0,1,3,9,4,0,1,1,0,Bot
125,172.31.231.168_trafic,329,34,97,5,20,0,0,1,2,20,9,0,1,1,0,Bot
126,172.31.150.242_trafic,7,6,2,3,3,0,0,1,2,4,1,0,0,0,0,clean
127,172.31.11.239_trafic,542,295,15,9,77,0,14,1,23,113,1,0,1,1,0,Bot
128,172.31.156.123_trafic,84,33,12,1,19,0,0,1,5,21,2,0,0,0,0,Bot
129,172.31.150.241_trafic,74,41,6,1,22,0,0,1,2,17,1,0,0,0,0,clean
130,172.31.156.125_trafic,60,14,19,1,5,0,0,1,2,9,4,0,0,0,0,Bot
131,172.31.148.14_trafic,8,3,4,0,4,0,0,1,1,3,2,0,0,0,0,clean
132,172.31.150.244_trafic,96,43,17,1,29,0,0,1,4,26,2,0,0,0,0,Bot
133,172.31.153.118_trafic,14,7,2,0,8,0,0,1,3,4,2,0,0,0,0,clean
134,172.31.155.71_trafic,442,147,57,7,75,0,0,1,11,61,3,0,0,0,0,clean
135,172.31.11.231_trafic,875,555,186,14,44,0,0,1,3,14,1,0,1,1,0,Bot
136,172.31.155.73_trafic,17,15,3,17,13,0,0,1,3,7,1,0,0,0,0,clean
137,172.31.150.249_trafic,114,45,17,1,11,0,0,1,3,18,2,0,0,0,0,Bot
138,172.31.224.78_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
139,172.31.224.79_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
140,172.31.155.76_trafic,6,6,1,6,2,0,0,1,2,2,1,0,0,0,0,clean
141,172.31.130.191_trafic,124,44,22,3,14,0,0,1,3,26,2,0,0,0,0,Bot
142,172.31.244.173_trafic,107,65,5,1,42,0,0,1,3,9,1,0,1,1,0,clean
143,172.31.226.36_trafic,41,26,5,1,16,0,5,1,6,10,1,0,1,1,0,clean
144,172.31.226.37_trafic,276,28,45,4,20,0,0,1,2,9,9,0,1,1,0,Bot
145,172.31.122.218_trafic,40,26,6,3,16,0,0,1,4,15,1,0,0,0,0,clean
146,172.31.130.198_trafic,69,47,8,2,24,0,0,1,2,11,1,0,0,0,0,clean
147,172.31.156.213_trafic,288,38,70,5,112,0,1,1,5,13,7,0,0,0,0,Bot
148,172.31.122.213_trafic,298,118,12,6,42,0,0,1,5,49,2,0,0,0,0,Bot
149,172.31.156.98_trafic,23,22,2,23,18,0,0,1,2,12,1,0,0,0,0,Bot
150,172.31.156.199_trafic,13,7,4,13,8,0,0,1,1,4,1,0,0,0,0,clean
151,172.31.153.177_trafic,5,5,1,2,3,0,0,1,3,2,1,0,0,0,0,clean
152,172.31.153.175_trafic,19,16,3,19,18,0,0,1,3,12,1,0,0,0,0,clean
153,172.31.131.224_trafic,29,26,3,14,10,0,0,1,3,14,1,0,0,0,0,clean
154,172.31.153.172_trafic,630,249,26,10,42,0,0,1,17,181,2,0,0,0,0,Bot
155,172.31.153.170_trafic,217,50,26,3,69,0,0,1,6,25,4,0,0,0,0,Bot
156,172.31.247.106_trafic,91,16,18,1,10,0,0,1,3,11,5,0,1,1,0,Bot
157,172.31.146.130_trafic,15,8,5,0,7,0,0,1,2,3,1,0,0,0,0,clean
158,172.31.247.104_trafic,165,74,9,5,30,0,0,1,9,27,2,0,1,1,0,clean
159,172.31.106.103_trafic,16,11,3,0,4,0,0,1,2,5,1,0,0,0,0,clean
160,172.31.128.112_trafic,333,121,24,8,36,0,0,1,6,50,2,0,0,0,0,Bot
161,172.31.252.15_trafic,154,47,22,3,17,0,0,1,4,18,3,0,1,1,0,Bot
162,172.31.106.106_trafic,145,39,27,2,10,0,0,1,5,17,3,0,0,0,0,Bot
163,172.31.110.224_trafic,34,13,8,34,29,0,0,1,5,8,2,0,0,0,0,clean
164,172.31.110.226_trafic,5,5,1,5,3,0,0,1,2,4,1,0,0,0,0,clean
165,172.31.110.220_trafic,12,7,3,6,8,0,0,1,1,3,1,0,0,0,0,clean
166,172.31.110.223_trafic,36,21,5,4,12,0,0,1,5,10,1,0,0,0,0,clean
167,172.31.234.104_trafic,187,106,9,3,52,0,0,1,2,30,1,0,1,1,0,clean
168,172.31.224.51_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
169,172.31.110.228_trafic,17,6,7,17,10,0,0,1,3,3,2,0,0,0,0,clean
170,172.31.110.229_trafic,369,179,13,6,26,0,0,1,4,46,2,0,0,0,0,Bot
171,172.31.121.20_trafic,22,10,8,11,9,0,0,1,2,5,2,0,0,0,0,clean
172,172.31.122.170_trafic,47,19,15,0,6,0,1,1,4,11,2,0,0,0,0,Bot
173,172.31.240.18_trafic,13,11,2,13,7,0,0,1,2,7,1,0,1,1,0,clean
174,172.31.154.59_trafic,23,14,5,2,17,0,0,1,2,10,1,0,0,0,0,clean
175,172.31.243.179_trafic,126,27,26,8,22,0,0,1,4,9,4,0,1,1,0,Bot
176,172.31.243.175_trafic,227,43,48,5,23,0,0,1,5,18,5,0,1,1,0,Bot
177,172.31.122.178_trafic,51,14,6,1,10,0,0,1,2,6,3,0,0,0,0,clean
178,172.31.154.50_trafic,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,clean
179,172.31.240.11_trafic,109,59,6,9,26,0,0,1,4,26,1,0,1,1,0,clean
180,172.31.253.17_trafic,60,41,4,1,26,0,0,1,3,23,1,0,1,1,0,clean
181,172.31.240.13_trafic,139,72,7,4,43,0,0,1,3,27,1,0,1,1,0,clean
182,172.31.237.70_trafic,156,72,9,2,44,0,0,1,9,33,2,0,1,1,0,clean
183,172.31.123.125_trafic,98,15,25,1,5,0,0,1,3,10,6,0,0,0,0,Bot
184,172.31.123.124_trafic,6,5,2,6,6,0,0,1,2,4,1,0,0,0,0,clean
185,172.31.114.134_trafic,2,1,2,2,2,0,0,1,1,1,2,0,0,0,0,clean
186,172.31.131.204_trafic,19,9,3,0,5,0,0,1,2,8,2,0,0,0,0,clean
187,172.31.131.207_trafic,31,17,13,0,4,0,0,1,3,8,1,0,0,0,0,Bot
188,172.31.245.243_trafic,26,16,8,0,13,0,0,1,3,10,1,0,1,1,0,clean
189,172.31.225.216_trafic,24,14,4,0,5,0,0,1,2,6,1,0,1,1,0,clean
190,172.31.234.142_trafic,44,24,20,1,22,0,0,1,2,12,1,0,1,1,0,Bot
191,172.31.106.94_trafic,11,6,3,5,6,0,0,1,1,4,1,0,0,0,0,clean
192,172.31.225.212_trafic,106,44,13,4,22,0,0,1,11,20,2,0,1,1,0,Bot
193,172.31.225.210_trafic,267,154,20,9,41,0,0,1,8,71,1,0,1,1,0,Bot
194,172.31.127.68_trafic,48,40,4,12,34,0,0,1,3,23,1,0,0,0,0,clean
195,172.31.248.98_trafic,86,56,4,7,25,0,0,1,3,16,1,0,1,1,0,clean
196,172.31.168.134_trafic,69,48,15,6,16,0,0,1,2,14,1,0,1,1,0,Bot
197,172.31.127.62_trafic,316,27,200,5,16,0,0,1,3,14,11,0,0,0,0,Bot
198,172.31.106.99_trafic,80,33,7,3,14,0,0,1,3,16,2,0,0,0,0,clean
199,172.31.225.219_trafic,58,29,4,3,13,0,0,1,2,9,2,0,1,1,0,clean
200,172.31.241.203_trafic,160,91,8,3,34,0,0,1,4,29,1,0,1,1,0,clean
201,172.31.147.193_trafic,60,23,20,1,11,0,0,1,2,12,2,0,0,0,0,Bot
202,172.31.147.190_trafic,164,89,18,2,43,0,0,1,8,53,1,0,0,0,0,Bot
203,172.31.155.176_trafic,4,3,2,4,4,0,0,1,2,3,1,0,0,0,0,clean
204,172.31.155.171_trafic,52,30,5,2,14,0,0,1,4,19,1,0,0,0,0,clean
205,172.31.147.194_trafic,185,45,19,10,21,0,0,1,3,18,4,0,0,0,0,Bot
206,172.31.249.127_trafic,173,116,10,2,65,0,0,1,7,41,1,0,1,1,0,clean
207,172.31.147.198_trafic,97,26,13,1,14,0,0,1,2,6,3,0,0,0,0,Bot
208,172.31.123.20_trafic,186,86,29,3,20,0,0,1,7,42,2,0,0,0,0,Bot
209,172.31.155.179_trafic,1071,40,1018,178,1024,0,0,1,2,3,26,0,0,0,0,Bot
210,172.31.130.245_trafic,21,3,8,3,5,0,0,1,1,3,7,0,0,0,0,clean
211,172.31.157.253_trafic,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,clean
212,172.31.12.36_trafic,16,7,4,16,11,0,0,2,2,4,2,0,1,1,0,clean
213,172.31.224.91_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
214,172.31.158.109_trafic,140,113,5,2,78,0,0,1,6,56,1,0,0,0,0,clean
215,172.31.158.108_trafic,148,45,15,2,21,0,0,1,3,22,3,0,0,0,0,Bot
216,172.31.106.75_trafic,31,20,4,0,9,0,0,1,3,12,1,0,0,0,0,clean
217,172.31.106.74_trafic,31,12,12,1,3,0,1,1,4,9,2,0,0,0,0,Bot
218,172.31.253.11_trafic,9,7,2,9,7,0,0,1,1,3,1,0,0,0,0,clean
219,172.31.106.76_trafic,4,2,2,4,4,0,0,1,1,1,2,0,0,0,0,clean
220,172.31.171.118_trafic,27,24,2,1,19,0,1,1,5,10,1,0,1,1,0,clean
221,172.31.158.103_trafic,90,43,17,30,30,0,0,1,5,21,2,0,0,0,0,Bot
222,172.31.226.189_trafic,119,46,10,3,23,0,0,1,4,20,2,0,1,1,0,clean
223,172.31.150.15_trafic,219,127,12,3,25,0,0,1,2,38,1,0,0,0,0,Bot
224,172.31.151.234_trafic,317,69,45,14,90,0,0,1,4,20,4,0,0,0,0,Bot
225,172.31.224.121_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
226,172.31.226.180_trafic,122,33,13,3,20,0,0,1,4,14,3,0,1,1,0,Bot
227,172.31.224.123_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
228,172.31.224.122_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
229,172.31.226.185_trafic,30,11,12,7,9,0,0,1,2,5,2,0,1,1,0,Bot
230,172.31.224.124_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
231,172.31.224.127_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
232,172.31.224.126_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
233,172.31.12.37_trafic,124,45,9,4,23,0,1,1,4,20,2,0,1,1,0,clean
234,172.31.154.39_trafic,24,16,4,24,20,0,0,1,1,11,1,0,0,0,0,Bot
235,172.31.168.18_trafic,4,1,4,4,4,0,0,1,1,1,4,0,1,1,0,clean
236,172.31.252.199_trafic,17,9,4,17,16,0,0,1,3,6,1,0,1,1,0,clean
237,172.31.252.196_trafic,32,19,3,16,16,0,0,1,3,9,1,0,1,1,0,clean
238,172.31.226.213_trafic,179,85,17,8,50,0,0,1,6,46,2,0,1,1,0,Bot
239,172.31.252.194_trafic,90,29,9,6,14,0,0,1,4,11,3,0,1,1,0,clean
240,172.31.226.215_trafic,278,97,21,4,21,0,0,1,3,17,2,0,1,1,0,Bot
241,172.31.107.74_trafic,97,20,31,1,5,0,0,1,3,10,4,0,0,0,0,Bot
242,172.31.123.232_trafic,78,30,23,7,15,0,0,1,2,12,2,0,0,0,0,Bot
243,172.31.129.218_trafic,84,40,14,2,17,0,0,1,4,19,2,0,0,0,0,Bot
244,172.31.148.193_trafic,227,59,120,11,37,0,0,1,8,22,3,0,0,0,0,Bot
245,172.31.148.192_trafic,65,22,10,1,6,0,0,1,1,7,2,0,0,0,0,clean
246,172.31.131.158_trafic,36,12,9,1,5,0,0,1,1,6,3,0,0,0,0,clean
247,172.31.249.150_trafic,293,167,15,10,50,0,0,1,10,78,1,0,1,1,0,Bot
248,172.31.148.222_trafic,58,44,3,58,40,0,0,1,10,23,1,0,0,0,0,clean
249,172.31.129.211_trafic,169,59,34,3,19,0,0,1,6,20,2,0,0,0,0,Bot
250,172.31.129.210_trafic,69,37,13,1,11,0,0,1,3,12,1,0,0,0,0,Bot
251,172.31.229.30_trafic,22,16,2,22,12,0,0,1,3,8,1,0,1,1,0,Bot
252,172.31.131.156_trafic,179,39,30,3,13,0,0,1,2,18,4,0,0,0,0,Bot
253,172.31.131.151_trafic,92,58,6,2,48,0,0,1,13,38,1,0,0,0,0,clean
254,172.31.154.97_trafic,30,12,7,4,6,0,0,1,2,9,2,0,0,0,0,clean
255,172.31.12.34_trafic,22,11,2,22,22,0,0,1,1,6,2,0,1,1,0,Bot
256,172.31.129.216_trafic,310,113,16,5,34,0,0,1,7,51,2,0,0,0,0,Bot
257,172.31.152.191_trafic,18,13,3,4,6,0,0,1,4,8,1,0,0,0,0,clean
258,172.31.152.192_trafic,11,7,4,11,6,0,0,1,1,1,1,0,0,0,0,clean
259,172.31.152.193_trafic,228,46,20,6,44,0,0,1,4,24,4,0,0,0,0,Bot
260,172.31.131.68_trafic,93,39,14,1,23,0,0,1,5,20,2,0,0,0,0,Bot
261,172.31.249.128_trafic,19,6,7,9,8,0,0,1,3,5,3,0,1,1,0,clean
262,172.31.152.198_trafic,2,2,1,2,1,0,0,1,1,1,1,0,0,0,0,clean
263,172.31.129.131_trafic,36,10,8,0,4,0,0,1,2,5,3,0,0,0,0,clean
264,172.31.131.60_trafic,355,288,6,32,103,0,0,1,15,148,1,0,0,0,0,clean
265,172.31.131.61_trafic,67,30,11,1,10,0,0,1,2,6,2,0,0,0,0,Bot
266,172.31.110.151_trafic,169,20,48,2,8,0,0,1,4,10,8,0,0,0,0,Bot
267,172.31.228.248_trafic,211,82,20,4,29,0,0,1,12,34,2,0,1,1,0,clean
268,172.31.236.228_trafic,217,92,11,11,38,0,0,1,5,38,2,0,1,1,0,Bot
269,172.31.232.163_trafic,76,57,5,8,19,0,0,1,2,30,1,0,1,1,0,clean
270,172.31.105.215_trafic,120,60,13,8,40,0,0,1,5,16,2,0,0,0,0,Bot
271,172.31.228.240_trafic,281,76,18,5,26,0,0,1,5,50,3,0,1,1,0,Bot
272,172.31.105.219_trafic,172,59,26,3,24,0,0,1,3,28,2,0,0,0,0,Bot
273,172.31.228.243_trafic,156,64,13,2,19,0,0,1,5,39,2,0,1,1,0,Bot
274,172.31.126.36_trafic,23,14,4,11,13,0,0,1,3,10,1,0,0,0,0,clean
275,172.31.228.245_trafic,14,10,2,0,3,0,2,1,3,4,1,0,1,1,0,clean
276,172.31.228.246_trafic,183,46,37,3,26,0,0,1,6,19,3,0,1,1,0,Bot
277,172.31.236.224_trafic,91,32,11,1,16,0,0,1,3,12,2,0,1,1,0,Bot
278,172.31.122.199_trafic,348,122,22,6,38,0,0,1,5,51,2,0,0,0,0,Bot
279,172.31.104.239_trafic,29,10,6,2,4,0,0,1,1,3,2,0,0,0,0,clean
280,172.31.235.162_trafic,31,20,6,31,28,0,0,1,3,15,1,0,1,1,0,Bot
281,172.31.11.22_trafic,164,34,31,2,31,0,0,2,3,12,4,0,1,1,0,Bot
282,172.31.104.237_trafic,5,4,2,5,5,0,0,1,1,4,1,0,0,0,0,clean
283,172.31.122.190_trafic,128,91,6,6,40,0,0,1,5,38,1,0,0,0,0,clean
284,172.31.122.192_trafic,179,49,26,3,14,0,0,1,4,25,3,0,0,0,0,Bot
285,172.31.109.252_trafic,766,270,25,14,54,0,0,1,11,121,2,0,0,0,0,Bot
286,172.31.231.85_trafic,107,35,11,2,19,0,0,1,6,16,3,0,1,1,0,Bot
287,172.31.109.250_trafic,288,116,25,5,67,0,0,1,8,66,2,0,0,0,0,Bot
